id_estudiante,t1,t2,t3,t4,t5,t6,r1,r2,r3,r4,r5,r6,p1,p2,p3,p4,p5,p6,op1,op2,op3,op4,op5,op6,score_a,score_p,score_d,score_s
203,166.9170893,130.4634414,171.0899786,146.9508754,82.240812,129.403786,1,1,1,1,1,1,9,7,4,3,3,2,0,0,0,0,0,0,3,0,3,2
204,47.3797133,26.97634,47.19128,53.4351667,27.57652,21.8853933,3,1,1,2,1,1,7,5,5,7,7,3,1,1,1,0,0,1,5,5,2,2
205,33.09194467,127.8926516,227.376801,31.850249,51.8087474,52.350419,1,4,4,1,1,1,2,9,16,3,6,6,1,1,1,1,0,0,5,5,2,0
206,34.94743963,234.384876,95.7271594,44.480365,49.8301703,51.813249,1,3,1,1,1,1,1,8,5,3,7,6,1,0,1,1,0,1,3,1,1,1
207,112.067901,45.73003,102.1755017,63.065834,66.7363227,79.2567276,2,1,2,1,2,1,15,7,21,5,6,13,0,1,1,1,1,0,3,3,2,1
208,28.36508666,66.91333397,71.52818,72.080393,44.839311,27.7934264,1,2,1,2,1,1,1,3,11,13,6,10,0,1,0,0,0,1,6,5,2,2
209,49.31480203,25.8323133,57.9144247,101.0460314,31.5487753,36.4652733,1,1,1,3,1,1,14,11,41,38,17,14,0,1,0,0,0,0,2,3,3,1
210,107.185755,441.4854737,285.797176,65.192412,34.336341,100.178224,3,7,4,1,1,2,6,23,8,3,2,3,1,1,1,0,1,1,5,3,2,3
211,34.394373,94.667751,80.7701363,51.291549,70.58867,78.6871084,1,2,1,2,3,2,1,8,7,6,5,7,1,0,1,1,1,0,5,3,3,3
212,24.57906933,106.9577697,86.4255293,61.6037173,55.1054507,111.4041743,1,4,1,2,1,3,2,9,11,6,9,28,1,0,0,0,0,0,2,2,2,3
213,80.9740903,74.897716,333.7683657,79.701608,83.9222303,133.4684904,1,2,4,1,2,3,9,16,49,10,9,17,1,1,0,0,1,1,1,2,1,1
214,44.78142934,51.94748503,181.5246263,63.0969303,64.229258,54.430772,1,1,1,1,1,1,7,7,19,4,6,6,1,1,0,1,0,1,3,2,2,2
215,102.929959,146.994297,128.8116864,32.315455,26.38231,30.782106,4,4,4,1,1,1,33,124,48,9,6,9,0,1,1,1,1,1,4,2,3,3
