rut,programa,hito1,hito2,hito3,hito4,exitosos,fallidos,ejercicios_hito1,ejercicios_hito2,ejercicios_hito3,ejercicios_hito4,sol1,sol2,sol3,sol4
540,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
541,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
542,INGENIERIA CIVIL INDUSTRIAL,26,0,0,0,13,3,:25:17:4:26:29:23:0:22:10:3:32:13:35,,,,1.0,,,
543,INGENIERIA CIVIL INDUSTRIAL,24,0,0,0,13,3,:25:17:4:26:29:22:10:3:42:7:32:13:18,,,,1.0,,,
544,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,8,23,:17:4:26:23:0:22:3:32,,,,1.0,,,
545,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:22,,,,1.0,,,
546,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,6,10,:25:17:4:23:0:22,,,,1.0,,,
547,INGENIERIA INDUSTRIAL,20,0,0,0,11,20,:25:17:4:26:29:23:0:22:10:3:42,,,,1.0,,,
548,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
549,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
550,INGENIERIA CIVIL INFORMATICA,5,0,0,0,4,12,:25:17:4:22,,,,1.0,,,
551,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:22,,,,1.0,,,
552,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,8,8,:25:17:4:26:29:22:10:3,,,,1.0,,,
553,INGENIERIA EN COMPUTACION E INFORMATICA,5,0,0,0,2,14,:23:32,,,,1.0,,,
554,INGENIERIA CIVIL INDUSTRIAL,14,0,0,0,8,8,:25:17:4:26:29:23:0:22,,,,1.0,,,
555,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:0,,,,1.0,,,
556,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,8,8,:17:4:29:23:0:22:32:18,,,,1.0,,,
557,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:22,,,,1.0,,,
558,INGENIERIA EN COMPUTACION E INFORMATICA,4,0,0,0,3,13,:25:17:22,,,,1.0,,,
559,INGENIERIA CIVIL INDUSTRIAL,3,0,0,0,3,13,:25:17:4,,,,1.0,,,
560,INGENIERIA EN COMPUTACION E INFORMATICA,27,0,0,0,14,2,:25:17:4:26:29:23:0:22:10:7:32:13:18:35,,,,1.0,,,
561,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,5,11,:17:4:23:3:35,,,,1.0,,,
562,INGENIERIA CIVIL INDUSTRIAL,18,0,0,0,10,6,:25:17:4:26:29:23:0:10:3:35,,,,1.0,,,
563,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
564,INGENIERIA CIVIL INDUSTRIAL,19,0,0,0,10,6,:25:17:4:26:23:22:10:32:13:18,,,,1.0,,,
565,INGENIERIA EN COMPUTACION E INFORMATICA,15,0,0,0,9,22,:25:17:4:26:29:23:0:22:10,,,,1.0,,,
566,INGENIERIA CIVIL INFORMATICA,32,0,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,,,,1.0,,,
567,INGENIERIA EN COMPUTACION E INFORMATICA,7,0,0,0,5,11,:25:17:4:26:29,,,,1.0,,,
568,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,24,:25:17:26:23:0:10:3,,,,1.0,,,
569,INGENIERIA EN COMPUTACION E INFORMATICA,25,0,0,0,13,3,:25:17:4:26:23:0:22:10:7:32:13:18:35,,,,1.0,,,
570,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,7,9,:25:17:4:26:23:22:42,,,,1.0,,,
571,INGENIERIA CIVIL INDUSTRIAL,2,0,0,0,2,14,:17:4,,,,1.0,,,
572,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:17:26:29:22:10:7:35,,,,1.0,,,
573,INGENIERIA EN COMPUTACION E INFORMATICA,13,0,0,0,8,23,:25:17:4:26:29:23:0:10,,,,1.0,,,
574,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,8,23,:17:4:29:23:0:22:32:18,,,,1.0,,,
575,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,9,7,:25:17:4:26:29:23:0:22:10,,,,1.0,,,
576,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
577,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
578,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,7,9,:25:17:4:26:29:23:22,,,,1.0,,,
579,INGENIERIA CIVIL INDUSTRIAL,15,0,0,0,8,23,:17:4:29:23:0:22:32:18,,,,1.0,,,
580,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,1.0,,,
581,INGENIERIA CIVIL INDUSTRIAL,7,0,0,0,5,11,:25:17:4:26:29,,,,1.0,,,
582,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,1.0,,,
583,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,7,9,:17:4:29:23:0:22:18,,,,1.0,,,
584,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,7,9,:25:17:4:26:29:22:7,,,,1.0,,,
585,INGENIERIA INDUSTRIAL,5,0,0,0,4,12,:25:17:4:26,,,,1.0,,,
586,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,6,10,:25:17:4:26:23:22,,,,1.0,,,
587,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,1.0,,,
588,INGENIERIA CIVIL INDUSTRIAL,13,0,0,0,8,23,:25:17:4:26:23:0:10:3,,,,1.0,,,
589,INGENIERIA EN COMPUTACION E INFORMATICA,12,0,0,0,7,9,:25:17:4:26:29:23:22,,,,1.0,,,
590,INGENIERIA CIVIL INDUSTRIAL,10,0,0,0,6,10,:25:17:4:26:23:22,,,,1.0,,,
591,INGENIERIA CIVIL INDUSTRIAL,12,0,0,0,8,8,:25:17:4:26:29:22:10:3,,,,1.0,,,
592,INGENIERIA EN COMPUTACION E INFORMATICA,20,0,0,0,10,6,:25:17:4:26:29:23:0:22:32:13,,,,1.0,,,
593,INGENIERIA CIVIL INDUSTRIAL,7,0,0,0,5,26,:25:17:4:22:3,,,,1.0,,,
594,INGENIERIA CIVIL INFORMATICA,9,0,0,0,6,25,:25:17:4:26:29:22,,,,1.0,,,
