rut,programa,hito1,hito2,hito3,hito4,exitosos,fallidos,ejercicios_hito1,ejercicios_hito2,ejercicios_hito3,ejercicios_hito4,sol1,sol2,sol3,sol4
905,INGENIERIA CIVIL INFORMATICA,32,0,0,0,16,15,:25:17:4:26:29:23:0:22:10:3:42:7:32:13:18:35,,,,3.7,,,
906,INGENIERIA CIVIL INDUSTRIAL,6,0,0,0,4,12,:25:17:4:23,,,,3.7,,,
907,INGENIERIA INDUSTRIAL,21,0,0,0,10,21,:17:4:26:23:0:10:32:13:18:35,,,,3.7,,,
908,INGENIERIA EN COMPUTACION E INFORMATICA,15,0,0,0,9,7,:25:17:4:26:29:23:0:22:10,,,,3.7,,,
909,INGENIERIA CIVIL INDUSTRIAL,18,0,0,0,10,6,:25:17:4:26:29:22:10:32:13:18,,,,3.8,,,
910,INGENIERIA CIVIL INDUSTRIAL,19,0,0,0,10,6,:25:17:4:26:23:22:10:32:13:18,,,,3.8,,,
911,INGENIERIA CIVIL INDUSTRIAL,8,0,0,0,5,11,:25:17:4:26:23,,,,3.8,,,
912,INGENIERIA CIVIL INFORMATICA,20,0,0,0,11,5,:25:17:4:26:29:23:0:22:10:3:42,,,,3.8,,,
913,INGENIERIA CIVIL INFORMATICA,17,0,0,0,10,21,:25:17:4:26:29:23:0:22:10:18,,,,3.8,,,
914,INGENIERIA EN COMPUTACION E INFORMATICA,17,0,0,0,10,6,:25:17:4:26:29:23:0:22:10:32,,,,3.8,,,
915,INGENIERIA EN COMPUTACION E INFORMATICA,8,0,0,0,6,25,:25:17:4:26:29:10,,,,3.8,,,
916,INGENIERIA INDUSTRIAL,23,0,0,0,12,4,:25:17:4:26:29:23:0:22:10:3:42:35,,,,3.9,,,
917,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,3.9,,,
918,INGENIERIA CIVIL INFORMATICA,20,0,0,0,11,20,:25:17:4:29:23:0:22:10:3:42:18,,,,3.9,,,
919,INGENIERIA CIVIL INFORMATICA,10,0,0,0,6,10,:25:17:4:26:29:23,,,,3.9,,,
920,INGENIERIA EN COMPUTACION E INFORMATICA,22,0,0,0,12,4,:25:17:4:26:29:23:0:22:10:7:32:13,,,,3.9,,,
921,INGENIERIA EN COMPUTACION E INFORMATICA,27,0,0,0,14,2,:25:17:4:26:29:23:0:22:10:7:32:13:18:35,,,,3.9,,,
929,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,16,,,,,4.0,,,
937,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,16,,,,,4.0,,,
946,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,4.0,,,
952,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,4.0,,,
956,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,16,,,,,4.1,,,
961,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,4.2,,,
1012,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,4.6,,,
1032,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,4.7,,,
1037,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,31,,,,,4.8,,,
1038,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,4.8,,,
1040,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,4.8,,,
1066,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,4.9,,,
1077,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,5.0,,,
1082,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,5.0,,,
1084,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,31,,,,,5.0,,,
1087,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,5.1,,,
1095,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,5.1,,,
1117,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,5.3,,,
1118,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,5.3,,,
1128,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,5.4,,,
1129,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,5.4,,,
1132,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,31,,,,,5.4,,,
1143,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,5.5,,,
1147,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,16,,,,,5.5,,,
1152,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,5.6,,,
1173,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,5.8,,,
1178,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,5.8,,,
1215,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,6.1,,,
1217,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,0,,,,,6.1,,,
1223,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,0,,,,,6.2,,,
1237,MAG. EN INGENIERIA INDUSTRIAL,0,0,0,0,0,16,,,,,6.4,,,
1239,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,6.4,,,
1240,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,6.4,,,
1241,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,6.4,,,
1244,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,16,,,,,6.4,,,
1269,INGENIERIA CIVIL INFORMATICA,0,0,0,0,0,16,,,,,6.6,,,
1272,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,6.7,,,
1283,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,16,,,,,7.0,,,
1287,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,0,,,,,7.0,,,
1288,INGENIERIA EN COMPUTACION E INFORMATICA,0,0,0,0,0,0,,,,,7.0,,,
1290,INGENIERIA CIVIL INDUSTRIAL,0,0,0,0,0,31,,,,,7.0,,,
